Player,09/14vs. PHI,09/20vs. NYG,09/27vs. DAL,10/04vs. HOU,10/11vs. WAS,10/15vs. NOR,10/25vs. TEN,11/01vs. TAM,11/08vs. SFO,11/22vs. IND,11/29vs. MIN,12/06vs. TAM,12/13vs. CAR,12/20vs. JAX,12/27vs. CAR,01/03vs. NOR
Phillip Adams,,,,,,,,,,,,,,,,P
Robert Alford,,,,,,,,,O,P,P,,,,,P
Ricardo Allen,,,,O,P,,,,,,,,P,,,
Jon Asamoah,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Jonathan Babineaux,,,,,,,,P,P,,,,,,,
Joplo Bartu,P,,,,,,,,,,,,,,,
Vic Beasley,,,,,,,,,Q,,,,,,,
Kroy Biermann,,,P,,,,,,,,,,,,,
Matt Bryant,,,,,,,,,,,IR,IR,O,IR,IR,IR
Chris Chester,,,,,,,,,,,,P,P,P,P,P
Adrian Clayborn,,P,,,,,,,,,,,,,,
Tevin Coleman,,,O,O,P,,,,,,,,,,O,O
Justin Durant,,,P,,O,O,P,,O,P,,P,,,,P
Devonta Freeman,P,,,P,,P,,,,,O,P,,,,P
Malliciah Goodman,,O,P,,,,,,,,,,,,,
Shayne Graham,,,,,,,,,,,P,,,,,
Ra'Shede Hageman,,,,,,,,,,,,,,,Q,
Leonard Hankerson,,,,,P,P,P,O,O,P,IR,IR,IR,,IR,
Devin Hester,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,P,P,P,P
Lamar Holmes,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP
Travis Howard,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Kemal Ishmael,,,,,,,,,,,,,P,,,
Tyson Jackson,,,,,,,,,P,P,,,,,,
Grady Jarrett,,,,,,,,,,P,,,,,O,P
Julio Jones,,P,P,P,Q,P,,,,,,,P,,,
Andy Levitre,,,,,,,,,,,P,,,,,
Jake Matthews,P,P,,,,,,,,,,,,,P,
Tony Moeaki,,,,,,,,,,,,O,P,,,
Collin Mooney,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
William Moore,,P,,,,,P,O,O,P,,,,IR,IR,IR
Michael Person,,,,,,O,P,,P,,,,,,,
Brooks Reed,O,O,O,P,P,,,,,,,P,,,,
Matt Ryan,,,,,,,,,,,,,,,,P
O'Brien Schofield,,P,,,,,,P,,,,,,,,
Paul Soliai,,,P,,,,,,,P,,P,O,P,P,IR
James Stone,,,,,,,,,P,,,,,IR,IR,IR
Jacob Tamme,,,,O,P,,,,,,,,P,P,,
Robenson Therezie,P,,,,,,,,,O,P,,,,,
Desmond Trufant,,,,,,,,,P,,,,,P,,
Eric Weems,,,,,,,P,,,,,,,,,P
Roddy White,P,,,,P,,P,,,,,,,,,P
Nick Williams,,,,,,,,Q,P,,,,,,,
Paul Worrilow,,,P,,,,,,,,,,,O,P,P
