Player,09/08vs. LAR,09/12vs. TAM,09/22vs. ARI,09/29vs. HOU,10/06vs. JAX,10/13vs. TAM,10/27vs. SFO,11/03vs. TEN,11/10vs. GNB,11/17vs. ATL,11/24vs. NOR,12/01vs. WAS,12/08vs. ATL,12/15vs. SEA,12/22vs. IND,12/29vs. NOR
Mario Addison,,,,,,,,Q,,,,,Q,Q,,
Kofi Amichia,IR,IR,IR,IR,,,,,,,,,,,,
Marcus Baugh,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
James Bradberry,,,,,,,,,Q,,,,,,,
Brian Burns,,,,,Q,,,,,,,,,,,
Vernon Butler,,,,,,,,,Q,,,,,,Q,
Ross Cockrell,,,,,,,,,,O,Q,,,,,
Dennis Daley,,,,,,Q,,,,D,Q,,,,,
Corn Elder,,,,,,,,,,,,,,,,Q
Graham Gano,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Rashaan Gaulden,,Q,O,,,,,,,,,,,,,
Dillon Gordon,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Brandon Greene,,,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Woodrow Hamilton,,,,,,,,,,,,,,,O,
Marquis Haynes,,,,Q,,,,,,,,,,O,O,Q
Chris Hogan,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,
Bruce Irvin,O,O,O,Q,,,,,,,,,,,,
Donte Jackson,,,,Q,O,Q,,,,Q,,,,,,
Natrell Jamerson,,,,,,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Tyler Larsen,,,,,,Q,,,,,,,,,,
Greg Little,O,,,,O,O,O,O,O,,Q,D,O,IR,IR,IR
Chris Manhertz,,,,,O,Q,,,,,,,,,,
Gerald McCoy,,,,,Q,,,,,,,,,,,
Garrett McGhin,,,,,,,,,,,,,Q,D,IR,IR
Christian Miller,,,,,,O,O,Q,,,,,,,,
D.J. Moore,,,,,,,,,,,,,,,,O
Taylor Moton,,,,,,,,,,,,Q,,,,
Cam Newton,,,O,O,O,O,O,O,IR,IR,IR,IR,IR,IR,IR,IR
Kitt O'Brien,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Greg Olsen,,Q,Q,,,,,,,,,,O,O,,
Matt Paradis,,,,,,,,,,,,,,,Q,
Damian Parms,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,
Dontari Poe,,,,,,,,,,,,IR,IR,IR,IR,IR
Eric Reid,,,,,Q,Q,,,,,,Q,,Q,,
Curtis Samuel,,,,,,,,Q,,,,,,,Q,
Jordan Scarlett,,,,,,,,,,,,O,IR,IR,IR,IR
Kawann Short,,,Q,Q,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Shaq Thompson,,,,,,Q,,,,,,,,,O,O
Trai Turner,,,,O,O,O,,,,,,,,,,
Destiny Vaeao,IR,IR,IR,IR,,,,,,,,,,,,
Greg Van Roten,,,,,,,,,,,,IR,IR,IR,IR,IR
