Player,09/09vs. IND,09/13vs. GNB,09/23vs. STL,10/01vs. DAL,10/07vs. JAX,10/22vs. DET,10/28vs. CAR,11/04vs. TEN,11/11vs. HOU,11/19vs. SFO,11/25vs. MIN,12/02vs. SEA,12/09vs. MIN,12/16vs. GNB,12/23vs. ARI,12/30vs. DET
Kyle Adams,,Q,,,,,,,,,,,,,,
Armando Allen,,,,,,,,,,,,,,,,Q
Earl Bennett,,,,Q,Q,Q,,,,,,,O,O,P,
Lorenzo Booker,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Lance Briggs,,,,,,,,P,,,P,P,,P,,
Michael Bush,,,,,,,,,,,,,Q,Q,IR,IR
Jason Campbell,,,,,,,,,,,P,,,,,
Gabe Carimi,,,,,,,,,,,,,P,,,
Nate Collins,,P,,,,,,,,,,,,,,
Chris Conte,D,,,,,,,,,,,,,,,O
Blake Costanzo,,,,,,P,,,,,,,,,Q,O
Jay Cutler,,,,,,Q,P,,,D,P,,,P,,
Kellen Davis,,,,,,,,,,,Q,P,,P,,
Brody Eldridge,,,,,,,P,,,,,,,,,
Matt Forte,,Q,O,D,P,,,,,,,Q,,,,P
Robbie Gould,,,,,,,,,,,,,,IR,IR,IR
Brandon Hardin,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Geno Hayes,,,,,,,,,,,,,,Q,P,
Devin Hester,,,,,,P,,,,,,O,P,,,
Israel Idonije,,,,,,,,,P,,,,,,,
Alshon Jeffery,,,,,Q,O,O,O,O,P,O,O,P,,,
Tim Jennings,,,,,,,,,,,,,O,O,Q,P
Johnny Knox,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP
Lance Louis,,,,,,,,,,,P,IR,IR,IR,IR,IR
Patrick Mannelly,,,,P,,,,,,,,,,,,
Brandon Marshall,,,,,,,,,,,P,,,,P,
Shea McClellin,,,,,,,,,,D,P,,Q,D,P,
Sherrick McManis,,,,,,Q,P,,,,,,,,,
Henry Melton,,,,,,,,,P,P,,,,D,D,Q
Stephen Paea,,,,,,,,,,,P,P,Q,P,,
Julius Peppers,,,P,,P,,,,,,P,,,,,
Adam Podlesh,P,,,,,,,,,,,,,,,
Chilo Rachal,,,,,,,,,,,O,O,O,O,O,O
Evan Rodriguez,,,Q,O,O,,,,,,,,,,,
Jonathan Scott,,,,,,,,P,,,,,,Q,Q,P
Matt Spaeth,,,,,,,,P,,,,,,,,
Chris Spencer,,,,,,,,,,,Q,O,O,P,,
Charles Tillman,,Q,,,,,,,P,,,P,,P,,P
Matt Toeaina,,,,,,,,,D,Q,P,,,,IR,IR
Brian Urlacher,P,P,,,,,,,,,,,O,O,O,D
J'Marcus Webb,,Q,,,,,,,,,,,,,,
Edwin Williams,,,,,,,,,,,,P,,,,
