Player,09/11vs. NYJ,09/18vs. SFO,09/26vs. WAS,10/02vs. DET,10/16vs. NWE,10/23vs. STL,10/30vs. PHI,11/06vs. SEA,11/13vs. BUF,11/20vs. WAS,11/24vs. MIA,12/04vs. ARI,12/11vs. NYG,12/17vs. TAM,12/24vs. PHI,01/01vs. NYG
Miles Austin,P,P,O,O,P,P,,,O,O,O,O,P,,,
Martellus Bennett,O,P,,,,,,,,,,,D,P,,
Josh Brent,,,,,,,,,,,,O,O,O,O,Q
Dez Bryant,,O,P,P,P,,,,,,,,,,,
David Buehler,,,O,O,O,O,P,,IR,IR,IR,IR,IR,IR,IR,IR
Bruce Carter,O,O,O,O,O,O,,,,,,P,,,,
Tashard Choice,P,,,,,,Q,,,,,,,,,
Barry Church,,,,,P,P,P,,,,,,,IR,IR,IR
Phil Costa,P,,P,P,,,,,,,,,,D,,
Derrick Dockery,,,D,O,O,O,Q,Q,,,,,,,,
Tony Fiammetta,,,,O,O,P,,,,O,O,O,P,,,
Kai Forbath,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O
Jason Hatcher,,,,O,O,O,Q,,,,,,,,,
Montrae Holland,,,,,,,,,,Q,,,,,,IR
Andre Holmes,,,,,,,,,,,,,,O,O,O
Bradie James,P,,,,,,,,,,,,,,,
Mike Jenkins,Q,P,P,P,,,,O,O,O,O,P,,P,P,P
Felix Jones,,,P,P,P,O,O,O,O,P,P,,,,P,P
Jon Kitna,,,,,,,,,,D,O,O,O,IR,IR,IR
Kyle Kosier,,,,,P,P,P,P,P,P,P,P,P,P,P,
Sean Lee,,,,,,,,D,P,P,P,P,P,P,P,P
Mat McBriar,,,,,,,,O,P,P,P,P,P,P,P,IR
Danny McCray,,,,,P,,,,,,,,D,P,O,O
DeMarco Murray,,,,,,,,,,,,,,IR,IR,IR
Bill Nagy,,D,P,,,O,O,O,O,O,O,O,O,O,O,O
Terence Newman,O,O,P,,,,,,,,,,,,,
Kevin Ogletree,,,,,,,,,,,,,,,O,Q
Jermey Parnell,,,,,,,,,,,,,,,,
Raymond Radway,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Jay Ratliff,,,,,,,,,,,,,,,P,P
Laurent Robinson,O,,,,,,,,,,,,P,P,P,P
Tony Romo,,,P,P,P,P,P,P,P,,,,,,,P
Orlando Scandrick,,O,O,O,P,,,,,,,,,,,
Gerald Sensabaugh,,,,,P,,,,,,P,P,,,,
Tyron Smith,,P,,,,,,,,,,,,,,
Marcus Spears,P,,,,,,,,,,,,,,,
Anthony Spencer,,P,P,P,,,,,,,,,,,,
Phillip Tanner,,,,,,,,,,,,O,IR,IR,IR,IR
DeMarcus Ware,,,,,,P,,,,,,,P,P,P,P
