Player,09/13vs. CIN,09/20vs. CLE,09/27vs. OAK,10/04vs. DAL,10/11vs. NWE,10/19vs. SDG,11/01vs. BAL,11/09vs. PIT,11/15vs. WAS,11/22vs. SDG,11/26vs. NYG,12/06vs. KAN,12/13vs. IND,12/20vs. OAK,12/27vs. PHI,01/03vs. KAN
Champ Bailey,,P,,,,,,,,,,,,,,
Josh Barrett,O,P,P,,,,,P,D,P,P,,P,,,
David Bruton,,,,,,,,O,,,,,O,P,P,
Correll Buckhalter,,,,,D,P,,,,P,P,,,D,P,P
Brian Dawkins,P,P,,,Q,,P,,,,P,P,P,,,P
Elvis Dumervil,,,,,,,,,,,,,,P,,
Ronald Fields,,,,,,,P,,,,,,,,,
Jabar Gaffney,,P,P,,,,,,,,,,,,,
Daniel Graham,,,,,,,,,,,,,,,,Q
Nick Greisen,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Mario Haggan,,,P,,,,,,,,,,,,,
Ben Hamilton,,,P,D,P,,,,,,,,,,,
Ryan Harris,,,,P,,,,O,O,O,O,,IR,IR,IR,IR
Renaldo Hill,,,,,,,,,,,,,,D,P,P
Peyton Hillis,,,,P,,,,,,,,,,,,
Russ Hochstein,,,,,,,,,,,,,,,,IR
LaMont Jordan,,,,,,,,,,O,O,O,,,,
Chris Kuper,O,P,P,,,,,,,,,,,,,
Spencer Larsen,,O,O,O,O,O,P,,,,,,,P,O,P
Ty Law,,,,,,,,,,,,Q,,O,O,P
Brandon Lloyd,,,,,,,,,,O,O,Q,,,,
Brandon Marshall,,,P,,,,,,P,P,P,,,,,O
Darcel McBath,,,,,,,,,,,,,,IR,IR,IR
Ryan McBean,,,,,,,,O,O,Q,,,,,,
Kenny McKinley,,,,P,,,,,,,,,,,,IR
Knowshon Moreno,P,P,P,,,,,,,,P,,,P,,
Kyle Orton,P,P,P,,,,,,,P,P,P,P,,,
Richard Quinn,,,,,,,,,,,,,,P,,
Darrell Reid,,,,,,,,,,,,,,,,P
Eddie Royal,,,,,,,,,,,,Q,,,O,O
Tony Scheffler,,,,,,P,,,,,,,,P,,O
Chris Simms,Q,,,,,,,,,,,,,,,
Alphonso Smith,,,Q,D,P,,,,,,,,,,,
Le Kevin Smith,O,O,P,,,,,,,,,,,,,
Brandon Stokley,,,P,P,,,,,,,,,,,,
Marcus Thomas,,,,,,,,,,,O,Q,,,,
D.J. Williams,,,,,,,,,,,,,,,P,
Jack Williams,,,,,,,,Q,,,,,,,,
Wesley Woodyard,,,,,,,,,,,,P,,,,
