Player,09/10vs. KAN,09/20vs. BAL,09/27vs. PIT,10/04vs. MIN,10/11vs. JAX,10/18vs. TEN,10/25vs. GNB,11/08vs. JAX,11/15vs. CLE,11/22vs. NWE,11/26vs. DET,12/06vs. IND,12/13vs. CHI,12/20vs. IND,12/27vs. CIN,01/03vs. TEN
Jordan Akins,,,,,Q,Q,Q,,,,,,,,,
Bryan Anger,,,,,,,,,,Q,Q,,,,,
Cornell Armstrong,,,,,,Q,,,,,,,,,,
Ross Blacklock,,,,,,,,,,,,Q,,,,
Pharaoh Brown,,,,,,,,,,,,,O,,,
Randall Cobb,,,,,,,,,,,IR,IR,IR,IR,IR,IR
Dylan Cole,,,,,,,,C19,Q,IR,IR,,,,,
Gareon Conley,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Brandin Cooks,Q,Q,,,,,,,,,,,Q,,,
Isaiah Coulter,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,
Keke Coutee,,,,,,,,,,,,,Q,,,
Keion Crossen,,,,,Q,,,,,,,,Q,,,
Brandon Dunn,,,,,,,,,,,,,,IR,IR,IR
Duke Ejiofor,,,,,,,,,IR,,,,,,,
Kyle Emanuel,,,,,,,,O,IR,IR,IR,IR,,,,
Hjalte Froholdt,,,,,,,,,,,,,,C19,C19,C19
Phillip Gaines,,,,,,,,,,,,,Q,Q,Q,Q
Cullen Gillaspia,Q,,,Q,,,,,,Q,O,IR,IR,IR,IR,IR
Jonathan Greenard,Q,,,,,,,,,,,,Q,,,
P.J. Hall,,,,,,,Q,,,,IR,IR,IR,IR,IR,IR
Tytus Howard,,Q,,,,,,,,,,,,,,
Buddy Howell,,,,,Q,Q,,,,,,,,,,
David Johnson,,,,,,,,,O,IR,IR,IR,C19,C19,,
Duke Johnson,,Q,Q,,,,,,,,,,,Q,O,Q
Lonnie Johnson Jr.,,,,,,,,,,,,,,Q,,
Peter Kalambayi,,Q,Q,Q,Q,Q,Q,,,,,,,,,
Senio Kelemete,,,,,,,,,O,Q,,,,,,
Jacob Martin,,,,,,,,C19,C19,C19,,,,,,
A.J. McCarron,,,,,,,,,,,,,Q,,,
Josh McCown,,,,,,,,,O,,O,,,,,
Benardrick McKinney,,,,,Q,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Whitney Mercilus,,,,,,,,C19,C19,,,,,,C19,C19
A.J. Moore,,,,IR,IR,IR,IR,IR,IR,,,,,,,
Eric Murray,,,,,,,,,,,,,,,,C19
Charles Omenihu,,,,,,,,,Q,Q,,,,,,
C.J. Prosise,,,,,,,,,,,,O,,Q,,
Brent Qvale,,,,,,,,,,,,,,,,O
John Reid,,,,,,,,,,,,,Q,Q,,
Justin Reid,,,,,,,,,,,,,,IR,IR,IR
Bradley Roby,,,,,,,,O,,,,,,,,
Brennan Scarlett,,,,,,,,,IR,IR,IR,IR,IR,IR,,
Max Scharping,,,,,,,,C19,C19,,,,,,,
Kenny Stills,,,Q,,,,,,,Q,O,,,,,
Michael Thomas,,,,,,,,,,IR,IR,IR,IR,IR,IR,IR
Laremy Tunsil,,,,,,,,,,Q,,,,,,D
Eddie Vanderdoes,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Kahale Warring,,,,,,,,,IR,,,,,,,
