Player,09/13vs. IND,09/20vs. TEN,09/24vs. MIA,10/04vs. CIN,10/11vs. HOU,10/18vs. DET,10/25vs. LAC,11/08vs. HOU,11/15vs. GNB,11/22vs. PIT,11/29vs. CLE,12/06vs. MIN,12/13vs. TEN,12/20vs. BAL,12/27vs. CHI,01/03vs. IND
Dakota Allen,,,,,,Q,,O,O,,,O,,,,
Josh Allen,,,,,Q,Q,,,,,IR,IR,IR,IR,IR,IR
Ryquell Armstead,C19,C19,C19,C19,C19,C19,C19,C19,C19,C19,C19,C19,C19,C19,C19,C19
Ben Bartch,,,,,,,,,,,,,,C19,C19,C19
A.J. Cann,,,,,,,Q,,,,,,,,,
DJ Chark,,,Q,,,Q,,,,,O,,,,,O
Chris Claybrooks,,,,,,,,,,,IR,IR,IR,IR,,
Chris Conley,,,,,,,,,,,O,Q,,,,
Logan Cooke,,,,,,,,,,,,,,O,C19,C19
Kamalei Correa,,,,,,,,,,,,O,Q,,,
Doug Costin,,,,,,,,,O,,,,,,,
Nathan Cottrell,,,,,,,,,,,,,,,,Q
Tyler Davis,O,O,,,,,,,,,,,,,,
Tyler Eifert,,,,,,Q,O,,,,,,Q,,,
Daniel Ekuale,,,,O,Q,,,,,,,,,,,
Ben Ellefson,,,,,,,,,,,,IR,IR,IR,IR,IR
Rodney Gunter,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,
DaVon Hamilton,,,,,,,,,,,,O,IR,IR,IR,IR
Stephen Hauschka,,,,Q,,,,,,,,,,,,
D.J. Hayden,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
C.J. Henderson,,,,,Q,,,,,IR,IR,IR,IR,IR,IR,IR
Tre Herndon,,,,,,,,,,,,,,C19,,
Myles Jack,,,,,Q,,O,,,,,,,,,
Leon Jacobs,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Collin Johnson,,,,,,,,,,Q,,,,,O,O
Abry Jones,,,,,,Q,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Josh Jones,,,,,,,,,Q,IR,IR,IR,,,,
Sidney Jones,,,,,,,,,,Q,O,O,Q,O,IR,IR
Josh Lambo,,,IR,IR,IR,IR,IR,,IR,IR,IR,IR,IR,IR,IR,IR
Brandon Linder,,,O,O,,,,,Q,,,,O,IR,IR,IR
Aaron Lynch,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,
Greg Mabin,,,,,,,,,,,,,Q,,,
Josh Mauro,,,,,,C19,C19,,,,,,,,,
Lerentee McCray,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,
Chase McLaughlin,,,,,,,,,,,C19,,,,,
Rashaan Melvin,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Gardner Minshew II,,,,,,,,O,O,Q,Q,,,,,
Andrew Norwell,,,,,,,,,,,IR,IR,IR,IR,,
James O'Shaughnessy,,,,,,,,,,O,,,,,,
Dare Ogunbowale,,,,,,,,,,,Q,,,,,
Josh Oliver,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,
Devine Ozigbo,IR,IR,IR,IR,IR,IR,IR,O,O,,,,,,,
Shaquille Quarterman,,,,,,,,IR,IR,IR,IR,IR,,,,
James Robinson,,,,,,,,,,,,,,,Q,O
Dontavius Russell,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Laviska Shenault Jr.,,,,,,,,,O,O,,,,,,
Jawaan Taylor,,,,,,,,,,,,Q,,,,
Daniel Thomas,,,,,,,,,,,IR,IR,IR,IR,IR,IR
Chris Thompson,,,,,,,C19,C19,,IR,IR,IR,IR,IR,IR,IR
Dede Westbrook,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR
Quincy Williams,IR,IR,IR,IR,IR,,,,,,,,,,,
Jarrod Wilson,,IR,IR,IR,IR,,O,,,,,Q,,,,
Andrew Wingard,,,,,IR,IR,IR,IR,IR,,,,,,,
Al Woods,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Brandon Wright,,,,IR,,,,,,,,,,,,
