Player,09/13vs. NWE,09/20vs. BUF,09/24vs. JAX,10/04vs. SEA,10/11vs. SFO,10/18vs. NYJ,11/01vs. LAR,11/08vs. ARI,11/15vs. LAC,11/22vs. DEN,11/29vs. NYJ,12/06vs. CIN,12/13vs. KAN,12/20vs. NWE,12/26vs. LVR,01/03vs. BUF
Salvon Ahmed,,,,,,,,,,,O,D,O,Q,,
Jerome Baker,,,,,,,,,,,,,,Q,,
Vince Biegel,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Lynn Bowden Jr.,,,,,,,,C19,C19,,,,,,,
Matt Breida,,,,,,,,O,Q,,,C19,C19,C19,,
Nate Brooks,IR,IR,,,,,,,,,,,,,,
Jesse Davis,,,,,,,,,,,C19,,,,,
Clayton Fejedelem,D,D,D,,,,,,,,,,,,,
Ryan Fitzpatrick,,,,,,,,,,,,,,,,C19
Ereck Flowers,,,,,,,,,,,,,O,Q,Q,
Kavon Frazier,,,,D,,,,,,,,,,,,
Myles Gaskin,,,,,,,,IR,IR,IR,IR,IR,C19,C19,C19,
Mike Gesicki,,,,,,,,,,,,,,Q,Q,
Davon Godchaux,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Jakeem Grant,,,,,Q,,,,,,Q,,,Q,Q,Q
Kamu Grugier-Hill,,,,,,,,,,,,,,,,O
Allen Hurns,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Austin Jackson,,,,,IR,IR,IR,IR,,,,,,,,
Byron Jones,,,O,D,,,,,,,,,,,,
Solomon Kindley,,,,Q,,,,,,Q,O,Q,,,O,Q
Shaq Lawson,,,,,O,Q,,,,,,,,,O,Q
Jonathan Ledbetter,,,,,IR,,,,,,,,,,,
Bobby McCain,,,,,,,,,,,,,,Q,,
DeVante Parker,,Q,,,,,,,,,,,,Q,Q,Q
Jamal Perry,,,,,,,O,Q,Q,,,,C19,C19,,
Malcolm Perry,,,,,,,,,,,,Q,,,,
Elandon Roberts,,O,,,,,,,,,,,Q,Q,,IR
Adam Shaheen,,,,,,,Q,,,,,,,,,
Ray Smith,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,
Durham Smythe,,,,,O,Q,,,Q,,,,,,,
Jason Strowbridge,,,O,,,,,,,,,,,,,
Tua Tagovailoa,,,,Q,,,,,,,Q,Q,,,,
Kyle Van Noy,,,,,,Q,,,C19,Q,,,Q,Q,,
DeAndre Washington,,,,,,,,,,,,D,,,,
Christian Wilkins,,,,,,,,,C19,C19,C19,,,,,
Albert Wilson,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
