Player,09/13vs. CLE,09/20vs. DET,09/27vs. SFO,10/05vs. GNB,10/11vs. STL,10/18vs. BAL,10/25vs. PIT,11/01vs. GNB,11/15vs. DET,11/22vs. SEA,11/29vs. CHI,12/06vs. ARI,12/13vs. CIN,12/20vs. CAR,12/28vs. CHI,01/03vs. NYG,01/17vs. DAL,01/24vs. NOR
Husain Abdullah,,,,,,,P,,,,,,,,,,,
Bernard Berrian,P,,,,,,,P,P,P,P,P,P,P,,,,P
Jasper Brinkley,,,,,,,,P,P,,,,,,,,,
Ray Edwards,,,,,P,P,,,,,,,,Q,,,Q,Q
Fred Evans,,,,,,,,,,Q,,,,,,,,
Heath Farwell,,P,,,,,,,,,,,,,,,,
Brett Favre,,,,P,P,,,P,P,P,,,,,,,,
Eric Frampton,,,,,,,P,,,,,P,,,,P,,
Cedric Griffin,,,,P,P,P,,,,,,,Q,P,,,,
Percy Harvin,,,P,,,,P,P,,,P,,O,P,,,,Q
E.J. Henderson,,,P,P,,,,Q,P,P,P,,IR,IR,IR,IR,IR,IR
Erin Henderson,O,O,O,D,O,,,,,,,,,,,,,P
Anthony Herrera,,P,,,,,,,,,D,O,P,,,,,
Steve Hutchinson,,,,P,P,P,,,,,,Q,P,P,P,P,P,P
Tyrell Johnson,,,,,,,,,,,,,D,P,,,,
Jimmy Kennedy,,,,,,,,,,,,,,,,D,P,P
Jim Kleinsasser,P,P,P,P,,,,,,,,,,,,,,
Chris Kluwe,,,,P,,,,,,,,,,,,,P,
Ben Leber,,,,,,,,P,,,,,,,,,,P
Phil Loadholt,,,,,O,P,P,,,,,,P,P,,,,
Bryant McKinnie,,,,,,,,,,,,P,P,,,,,
Jayme Mitchell,,,,,,,,,,O,Q,,,,,,,
Karl Paymah,,,,,,,,P,,P,,,O,O,,,,
Adrian Peterson,,,P,,,P,P,,,,P,P,P,,,,,
Darius Reynaud,,,,D,Q,D,D,O,P,,,,,,,,,
Sidney Rice,,,,,,,,,,,,,,P,,,,
Brian Robison,,,,,,,,,,,,,,,P,,,
Benny Sapp,Q,,,,,,,,,P,P,P,,,,,,P
Visanthe Shiancoe,,,,,,,,,,,,P,P,P,,P,P,
John Sullivan,,,,,,,,,,,,,,P,,P,,
Naufahu Tahi,,,,P,,P,,O,,P,P,P,,,,,P,
Chester Taylor,,,,,,,,,,,,P,,,,,,
Kevin Williams,,,,,,,,,,,,,,,,,,Q
Madieu Williams,,,P,,,,P,,,,,,,,,,,
Pat Williams,,,,,,,,,,,,,P,,O,P,P,P
Antoine Winfield,,,,,,,D,O,O,D,O,O,P,P,P,P,P,P
