Player,09/11vs. OAK,09/18vs. NYG,09/26vs. ATL,10/02vs. SDG,10/16vs. CAR,10/23vs. KAN,10/30vs. SEA,11/06vs. SFO,11/13vs. DEN,11/17vs. CAR,11/27vs. LAR,12/04vs. DET,12/11vs. TAM,12/18vs. ARI,12/24vs. TAM,01/01vs. ATL
Stephone Anthony,,,,,,O,O,Q,O,,,,,IR,IR,IR
Terron Armstead,Q,Q,O,O,O,Q,Q,Q,Q,O,Q,O,Q,IR,IR,IR
Chris Banjo,D,D,,,O,,,,,,,,,,,
Sam Barrington,,O,,,,,,,,,,,,,,
Delvin Breaux,,O,O,O,O,O,O,Q,,Q,,,,IR,IR,IR
Travaris Cadet,,,,,,,,,,Q,Q,,,,,
Tony Carter,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Ken Crawley,,,,,,,,,,,,,,,,O
Tyeler Davison,,,Q,Q,,,,,,,,,,,,
Dannell Ellerbe,O,O,Q,Q,O,O,Q,O,Q,,,,,,Q,Q
Obum Gwacham,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Erik Harris,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Josh Hill,,O,Q,O,Q,,,,,,,,IR,IR,IR,IR
Tony Hills,,,,,,,,,,,Q,,,,,
Michael Hoomanawanui,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Mark Ingram,,,,,,,,,,,Q,Q,Q,,,
Cameron Jordan,,,Q,,,,,,,,,,,,,
Senio Kelemete,,,,O,Q,,Q,,,,Q,,Q,,,
Shiloh Keo,,,,Q,,,,,,,Q,,Q,Q,,
Hau'oli Kikaha,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Paul Kruger,,,,,Q,Q,,,,,,,,,,
John Kuhn,,,,,,,,,,,,,,,Q,
Jake Lampman,,,,,,,O,Q,,,,,,,,
Daniel Lasco,,,,,,O,Q,O,Q,O,O,O,Q,Q,,
James Laurinaitis,,,,Q,Q,,,IR,IR,IR,IR,IR,IR,IR,IR,IR
Michael Mauti,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR
Sterling Moore,,,,,,O,O,Q,,,,,,,,
David Onyemata,,,,,,,,,,,Q,,,,,
Andrus Peat,,,,,,O,Q,,,,,,,,,
D.J. Pettway,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Kyle Prater,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Jimmy Pruitt,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Sheldon Rankins,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,
Craig Robertson,,,,,,,,,,,,,Q,Q,Q,Q
Jamarca Sanford,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Jeff Schoettmer,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Willie Snead,,,Q,Q,,,,,,,,,,,,
Damian Swann,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Michael Thomas,Q,,,,,,,,,,,,Q,,,
Tyrus Thompson,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Max Unger,,,,,,,,,,,,,Q,Q,Q,
Kenny Vaccaro,,,Q,Q,,,,,,,,,,,,
P.J. Williams,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Kyle Wilson,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Avery Young,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
