,Division Placement,Points For,Points for Per Game,Points For Ranking,Points Against,Points Against Per Game,Points Against Ranking,Expected Wins,Expected Losses,Team Rating SRS,SRS rank,Strength of Schedule
1960,1,379,27.1,2,285,20.4,2,9.3,4.7,5.88,5,-0.84
1961,1,513,36.6,1,242,17.3,2,12.0,2.0,16.94,1,-2.42
1962,1,387,27.6,2,270,19.3,2,9.8,4.2,7.31,4,-1.05
1963,3,302,21.6,6,372,26.6,6,5.3,8.7,-4.38,14,.63
1964,4,310,22.1,5,355,25.4,7,5.9,8.1,-2.81,14,.40
1965,4,298,21.3,5,429,30.6,8,4.2,9.8,-8.19,19,1.17
1966,4,335,23.9,3,396,28.3,9,5.6,8.4,-4.76,19,-0.40
1967,1,258,18.4,6,199,14.2,1,9.1,4.9,2.58,8,-1.64
1968,2,303,21.6,5,248,17.7,3,8.6,5.4,3.11,10,-0.82
1969,2,278,19.9,7,279,19.9,5,7.0,7.0,-1.20,14,-1.13
1970,4,217,15.5,20,352,25.1,25,3.4,10.6,-9.25,24,.39
1971,3,251,17.9,16,330,23.6,22,4.8,9.2,-6.72,24,-1.08
1972,4,164,11.7,25,380,27.1,25,1.7,12.3,-12.98,24,2.45
1973,4,199,14.2,23,447,31.9,26,1.8,12.2,-16.76,26,.95
1974,2,236,16.9,17,282,20.1,18,5.5,8.5,-1.91,16,1.38
1975,3,293,20.9,12,226,16.1,5,9.1,4.9,6.43,9,1.64
1976,4,222,15.9,22,273,19.5,17,5.3,8.7,-1.77,18,1.88
1977,3,299,21.4,5,230,16.4,14,9.1,4.9,6.65,6,1.72
1978,2,283,17.7,14,298,18.6,16,7.5,8.5,-0.40,13,.54
1979,2,362,22.6,8,331,20.7,16,8.8,7.2,4.36,4,2.42
1980,2,295,18.4,20,251,15.7,2,9.5,6.5,1.64,12,-1.11
1981,3,281,17.6,23,355,22.2,18,5.8,10.2,-4.69,25,-0.06
1982,4,136,15.1,24,245,27.2,27,1.8,7.2,-11.03,28,1.08
1983,4,288,18.0,22,460,28.8,27,4.0,12.0,-11.52,28,-0.77
1984,4,240,15.0,27,437,27.3,26,3.1,12.9,-11.97,27,.34
1985,4,284,17.8,25,412,25.8,23,4.7,11.3,-8.93,26,-0.93
1986,4,274,17.1,23,329,20.6,16,6.3,9.7,-3.93,22,-0.50
1987,2,345,23.0,10,349,23.3,19,7.4,7.6,1.93,11,2.19
1988,3,424,26.5,2,365,22.8,22,9.4,6.6,2.99,9,-0.69
1989,2,365,22.8,7,412,25.8,26,6.9,9.1,-2.53,18,.41
1990,2,405,25.3,2,307,19.2,14,10.5,5.5,5.20,8,-0.93
1991,1,386,24.1,4,251,15.7,6,11.8,4.2,8.36,4,-0.08
1992,2,352,22.0,6,258,16.1,9,10.8,5.2,5.54,6,-0.33
1993,1,368,23.0,4,238,14.9,4,11.8,4.2,7.19,3,-0.94
1994,4,226,14.1,28,352,22.0,21,4.1,11.9,-7.32,28,.56
1995,2,348,21.8,15,324,20.3,7,8.7,7.3,.79,13,-0.71
1996,4,345,21.6,10,319,19.9,16,8.7,7.3,.95,12,-0.68
1997,3,333,20.8,14,310,19.4,12,8.7,7.3,1.66,11,.22
1998,2,330,20.6,13,320,20.0,12,8.3,7.7,.01,15,-0.62
1999,2,392,24.5,7,324,20.3,15,9.8,6.2,1.03,18,-3.22
2000,1,346,21.6,13,191,11.9,2,12.9,3.1,8.35,2,-1.34
2001,4,336,21.0,12,388,24.3,25,6.6,9.4,-2.05,20,1.20
2002,1,367,22.9,13,324,20.3,11,9.2,6.8,1.76,13,-0.92
2003,2,435,27.2,5,324,20.3,13,10.7,5.3,6.47,5,-0.47
2004,4,344,21.5,15,439,27.4,30,5.8,10.2,-4.39,25,1.54
2005,3,299,18.7,21,421,26.3,29,4.9,11.1,-7.57,29,.06
2006,2,324,20.3,16,400,25.0,31,6.0,10.0,-1.28,18,3.47
2007,3,301,18.8,22,297,18.6,8,8.1,7.9,.71,15,.46
2008,1,375,23.4,14,234,14.6,2,12.1,3.9,8.94,3,.13
2009,3,354,22.1,16,402,25.1,28,6.8,9.2,-2.76,22,.24
2010,4,356,22.3,17,339,21.2,15,8.5,7.5,1.02,14,-0.04
2011,2,325,20.3,21,317,19.8,8,8.2,7.8,-1.00,19,-1.50
2012,3,330,20.6,23,471,29.4,32,4.8,11.2,-9.97,29,-1.16
2013,2,362,22.6,19,381,23.8,16,7.5,8.5,-0.77,15,.41
2014,4,254,15.9,30,438,27.4,29,3.4,12.6,-11.84,32,-0.34
2015,4,299,18.7,28,423,26.4,27,4.9,11.1,-10.53,32,-2.78
2016,2,381,23.8,14,378,23.6,16,8.1,7.9,-1.01,23,-1.19
2017,2,334,20.9,19,356,22.3,17,7.4,8.6,-3.50,21,-2.13
2018,3,310,19.4,27,303,18.9,3,8.2,7.8,.23,16,-0.21
2019,2,402,25.1,10,331,20.7,12,9.8,6.2,3.42,9,-1.02
2020,1,491,30.7,4,439,27.4,24,9.1,6.9,1.59,13,-1.66
2021,1,46,23.0,16,68,34.0,29,0.6,1.4,-2.00,17,9.00
