Player,09/12vs. DEN,09/18vs. BUF,09/25vs. NYJ,10/02vs. NWE,10/09vs. HOU,10/16vs. CLE,10/23vs. KAN,11/06vs. DEN,11/10vs. SDG,11/20vs. MIN,11/27vs. CHI,12/04vs. MIA,12/11vs. GNB,12/18vs. DET,12/24vs. KAN,01/01vs. SDG
Khalif Barnes,,,,,,,,,P,,,,,,,
Darryl Blackstock,P,,,,,,,,,,,,,,,
Kevin Boss,D,O,P,,,,,P,,P,,,P,,,
Jerome Boyd,,,P,P,P,,,,,,,,,,,
Tyvon Branch,,,,,P,,,,,,,,,,,
Ricky Brown,,,,O,Q,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Michael Bush,,,,,P,,,,,,,,,,P,
Jason Campbell,,P,P,P,P,P,O,O,O,O,O,O,O,O,O,O
Rock Cartwright,,,,,,O,P,,P,,,,,,P,
Chimdi Chekwa,,,,P,Q,O,O,O,D,IR,IR,IR,IR,IR,IR,IR
Hiram Eugene,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Jacoby Ford,,O,D,P,,,,,,D,O,D,O,D,O,P
Matt Giordano,,,,P,,P,,P,P,P,,,,,P,
Travis Goethel,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Richard Gordon,,,,,O,O,P,,,,,,,,,
Quentin Groves,,,,P,,,,,,,,,,,,
Derek Hagan,O,Q,,,,,,,,,,,,,,
John Henderson,,,,,,,,P,,,,,P,O,O,O
Stephon Heyer,,O,O,,,,,,,,,,,,,
Darrius Heyward-Bey,,O,P,,,,,,,,D,,,P,,
Lamarr Houston,,,,,,,,,,,P,P,,,,
Michael Huff,,P,,O,Q,P,P,P,O,P,P,P,P,O,O,P
Sebastian Janikowski,,,P,,,,O,P,P,P,,P,,,,
Chris Johnson,P,P,P,O,O,O,Q,O,O,O,D,P,O,O,O,O
Taiwan Jones,P,,,,P,,,,,,O,D,O,D,O,D
Tommy Kelly,,,,,,,,,,,,P,P,P,P,
Bryan McCann,,,,,,,,,,,,,,,P,
Rolando McClain,,,,,,P,P,O,P,,,Q,,,,
Darren McFadden,,P,P,P,,,,D,O,D,O,D,O,D,D,O
Mike Mitchell,O,O,O,P,P,P,,,P,P,P,P,,,,
Denarius Moore,,,,,,,,,,,O,D,O,P,P,
Jarvis Moss,,P,,,P,,,,,,O,O,P,P,,
Louis Murphy,O,O,O,D,Q,P,,,,,,,,P,P,P
Brandon Myers,,,,,,P,P,,,,,,,,,
Nedu Ndukwe,,,,,,,,,Q,,,,,,,
Carson Palmer,,,,,,,,,P,,,,,,,
Joe Porter,,P,,,,,,,,,,,,,,
Marcel Reece,,,,O,D,O,O,P,P,,,,,,,
Stanford Routt,,,,,,,,,,,,,,,P,
Samson Satele,,,,,,P,P,P,Q,P,P,,,P,P,
Chaz Schilens,P,,,,,,O,P,,,,,P,P,P,
Trevor Scott,Q,,,,,,,,,,,P,P,,,
Richard Seymour,,P,,,,P,P,,P,P,P,P,P,,,P
Matt Shaughnessy,,,,O,O,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Manase Tonga,,,,,,,,,,O,P,,,,,
DeMarcus Van Dyke,P,,O,P,,,,,O,P,,,,,,P
Kamerion Wimbley,,,,,,,,,,,,P,,,,
