Player,09/10vs. IND,09/17vs. WAS,09/21vs. SFO,10/01vs. DAL,10/08vs. SEA,10/15vs. JAX,10/22vs. ARI,11/05vs. NYG,11/12vs. HOU,11/19vs. MIN,11/26vs. NOR,12/03vs. ARI,12/10vs. PHI,12/17vs. SEA,12/24vs. TEN,12/31vs. SFO,01/06vs. ATL
Maurice Alexander,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Brandon Allen,,,,,,,,,,,,,,IR,IR,IR,IR
Mark Barron,,,,,,Q,Q,,,,,,,,,D,
Connor Barwin,,,,,,,,,,,,O,Q,,,,
Jamon Brown,,,,,Q,,,,,,,,,,,,
Malcolm Brown,,,Q,,,,,,O,O,O,Q,,,,,
Derek Carrier,,,,,,,,,D,Q,,,,,,,
Marqui Christian,,,,,,,,,,,,,,,,IR,IR
Cody Davis,,,,Q,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,,
Lance Dunbar,IR,IR,IR,IR,IR,IR,IR,IR,,,Q,Q,IR,IR,IR,,IR
Dominique Easley,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Bryce Hager,,,,,,,,,,,Q,,,,,,
Cory Harkey,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Dominique Hatfield,,,,,,,,,,,,,D,,,,
Temarrick Hemingway,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Troy Hill,,,,,,D,,,,Q,,,,,,,
Lamarcus Joyner,,,,O,D,Q,,,,,,,,,,IR,
Cooper Kupp,,,,,,,,,,,,,,,,Q,
Zach Laskey,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Matt Longacre,,,,,,,,,,,,,,,IR,IR,IR
Bradley Marquez,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,IR
Alec Ogletree,,,,,,,,,,,,,Q,,,,
Robert Quinn,,,,,,,,,D,,,,,,,,
Nickell Robey-Coleman,,,,,,,,,,,D,,,,,,
John Sullivan,,,,Q,,,,,,,,,,,,,
Mike Thomas,,,,,,,,,,,,,,,,,D
Kayvon Webster,,Q,Q,,,,,,,,,,,IR,IR,IR,IR
Robert Woods,,,,,,,,,,,O,O,Q,,,,
Greg Zuerlein,,,,,,,,,,,,,,,IR,IR,IR
