Player,09/14vs. MIN,09/20vs. PIT,09/27vs. ARI,10/04vs. GNB,10/11vs. NYG,10/18vs. BAL,10/22vs. SEA,11/01vs. STL,11/08vs. ATL,11/22vs. SEA,11/29vs. ARI,12/06vs. CHI,12/13vs. CLE,12/20vs. CIN,12/27vs. DET,01/03vs. STL
Kenneth Acker,,,,P,,,,,Q,P,,,,,,
Derek Anderson,IR,IR,IR,IR,IR,IR,IR,IR,IR,,IR,IR,,IR,IR,
Dres Anderson,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Arik Armstead,,,,,,,,,,,P,P,P,P,P,P
Blake Bell,,,P,,,,,,,,,P,,,,
Antoine Bethea,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR
Desmond Bishop,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Anquan Boldin,,,,,,,Q,Q,D,Q,P,P,P,P,,
Alex Boone,,,P,P,P,P,P,P,P,,P,P,P,IR,O,IR
NaVorro Bowman,,,P,P,P,P,P,P,P,P,P,P,P,P,P,P
Tramaine Brock,P,,,,,,,,Q,P,,,Q,Q,P,P
Ahmad Brooks,,,,P,D,Q,P,P,P,P,Q,P,,P,P,P
Trent Brown,,,,,,,,,,,,,,,,P
Reggie Bush,,O,D,P,,D,P,,IR,IR,IR,IR,IR,IR,IR,IR
Garrett Celek,,,,,,,,,Q,,,IR,IR,IR,IR,IR
Marcus Cromartie,,,,,,,,,,,,,,P,,
Mike Davis,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,
Vernon Davis,,,,D,O,Q,P,,,,,,,,,
Quinton Dial,,,,,,,,,,,,P,P,P,P,O
Shaun Draughn,,,,,,,,,,,,,,,IR,IR
Bruce Ellington,,Q,Q,P,,Q,P,,,,,P,,,,
Kendall Gaskins,,,,,,,,,,,,,P,P,,
Eli Harold,,,,,,Q,,,,,,,P,P,P,P
Kendall Hunter,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,IR
Carlos Hyde,,,P,,,Q,Q,IR,IR,IR,IR,IR,O,IR,IR,IR
Tony Jerod-Eddie,,,,,,,,P,,,P,P,,,,
Dontae Johnson,,,,,,,,,,,,P,,,P,P
Colin Kaepernick,,,,,,,,P,,P,IR,IR,IR,IR,IR,IR
Daniel Kilgore,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,
Aaron Lynch,,,,,,,,,,,,,Q,Q,P,
Marcus Martin,,,,,,,,,,,,,P,P,O,D
L.J. McCray,,,,P,P,,,,O,IR,IR,IR,IR,IR,IR,IR
Vance McDonald,,,Q,P,P,P,P,,,,,,O,P,,
Bruce Miller,,,,,,,,,,,,,,,,P
Quinton Patton,,,,,Q,,,,,,,,,,,
Erik Pears,,,,,,,Q,P,,,P,P,P,P,P,P
Bradley Pinion,,,,,,,,,P,,,,,,,
Mike Purcell,,,,,,,,,,,,,P,P,,
Keith Reaser,,,,,,,,,Q,P,P,P,,,,
Eric Reid,,,,P,,,P,P,P,P,,,,P,,P
Jerome Simpson,,,,,,,,,,,,,,P,,
DeAndre Smelter,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Torrey Smith,,,P,,,,,,,,,P,Q,Q,P,P
Joe Staley,,,,,Q,P,P,P,P,,,,P,P,P,P
Jaquiski Tartt,,,,,,,,,,,P,P,P,P,P,D
Brandon Thomas,,,,,,Q,P,,,,,,,,,
Andrew Tiller,,,,,,,,,,,,,P,P,,
Jimmie Ward,,,,,,,,,,,,,,P,,
Michael Wilhoite,,,,,,,,,,,,P,IR,IR,IR,O
