Player,09/07vs. HOU,09/14vs. JAX,09/21vs. PHI,09/25vs. NYG,10/06vs. SEA,10/12vs. ARI,10/19vs. TEN,10/27vs. DAL,11/02vs. MIN,11/16vs. TAM,11/23vs. SFO,11/30vs. IND,12/07vs. STL,12/14vs. NYG,12/20vs. PHI,12/28vs. DAL
David Amerson,,,,,,,Q,,,,S,P,,,,
Chris Baker,,,,P,P,,,P,,,O,Q,Q,Q,P,Q
E.J. Biggers,,,,,,,,,,,,O,Q,,,
Stephen Bowen,PUP,PUP,PUP,PUP,PUP,PUP,,,,,,,,,P,P
Bashaud Breeland,,,,,,,,,Q,,,P,,,,P
Courtney Bridget,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Mike Caussin,IR,,,,,,,,,,,,,,,
Ryan Clark,,,,,,Q,Q,Q,P,P,,Q,P,,,
Barry Cofield,Q,IR,IR,IR,IR,IR,IR,IR,IR,P,,,,P,,P
Tom Compton,,,,,,,,,,,,,,,,P
William Compton,,,,,,,,,,,,,P,,P,P
Kai Forbath,,Q,Q,P,,,,,,,,,,,,
Kedric Golston,,D,D,O,Q,P,,,,,,P,O,Q,,Q
Robert Griffin III,,,O,O,O,O,O,O,P,P,,,,,,P
DeAngelo Hall,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Leonard Hankerson,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,,,,,,,
Jason Hatcher,,,,Q,P,P,,,,,,Q,Q,O,O,D
Adam Hayward,,,,,,,,,,,,IR,IR,IR,IR,IR
Roy Helu,,,P,,,,,,,,,,,O,O,
Duke Ihenacho,,P,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
DeSean Jackson,,,Q,P,P,,Q,,,,,,O,Q,,
Tanard Jackson,S,S,S,S,S,S,S,S,S,S,S,S,S,S,O,O
Jackson Jeffcoat,,,,,,,,,,,,,,,,P
Jarvis Jenkins,,,,,P,,,,,,,,,,,
Akeem Jordan,O,O,O,O,Q,P,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Frank Kearse,,,,Q,,P,,,,,,,,,,
Ryan Kerrigan,,,,,,,,,P,P,,,P,,,
Shawn Lauvao,,,,D,Q,P,,,,,Q,,,,,
Kory Lichtensteiger,,,Q,Q,,,,,,,,,,,P,P
Colt McCoy,,,,,,,,,,,,,,,IR,IR
Brandon Meriweather,S,S,S,,,,,,,,,,D,O,IR,IR
Gabe Miller,,,,,,,,,,,,,,,O,Q
Chase Minnifield,,,,,,,,,,,,,IR,IR,,
Alfred Morris,,,,P,,,,P,,,,,,,,
Morgan Moses,,,,,,,,,,,,,,IR,IR,IR
Trent Murphy,,,,,,,,,P,,P,,,,,IR
Chris Neild,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Brian Orakpo,P,P,P,P,P,Q,P,IR,IR,IR,IR,IR,IR,IR,IR,IR
Niles Paul,,,,,Q,,,,,,,,,,,
Logan Paulsen,,,,,,,,,,P,,,,,,
Tyler Polumbus,,P,,P,,P,,P,,,,,,,,
Tracy Porter,O,O,O,Q,O,O,O,Q,O,,,IR,IR,IR,IR,IR
Silas Redd,,,,,,,,,O,P,,Q,P,,,
Jordan Reed,Q,O,O,O,O,Q,,,,,O,Q,,,,
Jerry Rice Jr.,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Perry Riley,,,,,,O,O,P,P,,,,,,,
Keenan Robinson,,,,P,,,,,,P,,,O,O,D,Q
Trent Robinson,,,,Q,D,P,P,,,,,,,,P,
Darryl Sharpton,IR,IR,IR,IR,,,,,,,,,,,,
Trent Williams,,P,,,P,Q,P,P,P,,O,P,,,Q,Q
Darrel Young,,,P,,,,P,,,,,,,,,P
